inst,fecha,count,min,avg,max
24,"2019-01-12 21:00:00",915,3.254672,6.5112935552,14.465364
1,"2019-01-12 22:00:00",1,5.653759,5.653759,5.653759
24,"2019-01-13 00:00:00",43,6.940753,6.940753,6.940753
1,"2019-01-13 01:00:00",15,7.853938,7.8539429333,7.854012
24,"2019-01-13 01:00:00",21,6.031818,6.0318644286,6.032013
24,"2019-01-13 08:00:00",175,5.791301,8.2693535086,15.638885
24,"2019-01-13 09:00:00",1189,2.324887,12.4065865559,13.863586
1,"2019-01-13 09:00:00",41,5.57884,8.9030093415,13.726728
1,"2019-01-13 10:00:00",289,2.933079,6.6657607128,14.796561
24,"2019-01-13 10:00:00",407,3.426587,8.4451025676,13.944206
1,"2019-01-13 11:00:00",2486,2.224204,6.2729055744,15.786456
24,"2019-01-13 11:00:00",468,2.733902,8.38009875,15.751036
1,"2019-01-13 12:00:00",448,3.823346,7.4375143862,15.308555
24,"2019-01-13 12:00:00",505,2.90483,6.854366099,13.213613
1,"2019-01-13 13:00:00",287,2.892906,7.9089195993,14.555349
24,"2019-01-13 13:00:00",717,1.916801,7.4351807155,16.533262
1,"2019-01-13 14:00:00",295,2.435588,8.0733055492,14.954782
24,"2019-01-13 14:00:00",385,2.389466,7.2965594519,14.011945
1,"2019-01-13 15:00:00",105,1.443771,7.1671534381,13.524264
24,"2019-01-13 15:00:00",319,2.417699,8.1527399248,14.552445
24,"2019-01-13 16:00:00",530,2.744198,7.5328810094,15.025948
1,"2019-01-13 16:00:00",166,2.519113,7.9292703494,14.640049
1,"2019-01-13 17:00:00",250,1.8689,7.836805224,14.125946
24,"2019-01-13 17:00:00",461,3.273921,8.7629192711,15.88035
24,"2019-01-13 18:00:00",514,2.642127,7.3642294183,14.862001
1,"2019-01-13 18:00:00",235,2.801899,7.3010760128,15.366
1,"2019-01-13 19:00:00",178,3.527529,7.883550309,14.891681
24,"2019-01-13 19:00:00",567,2.946305,7.3695751834,14.244048
24,"2019-01-13 20:00:00",688,3.03246,6.2674490058,14.975576
1,"2019-01-13 20:00:00",464,3.251512,7.6127967931,13.868883
24,"2019-01-13 21:00:00",104,3.094353,10.9402754904,16.215935
1,"2019-01-13 21:00:00",94,4.145107,7.8057812128,9.892879
1,"2019-01-14 00:00:00",107,6.286161,6.286161,6.286161
1,"2019-01-14 01:00:00",17,5.316157,6.4536305882,8.095175
24,"2019-01-14 06:00:00",3050,3.870872,6.8074537052,9.126831
1,"2019-01-14 07:00:00",1132,8.224548,8.2308337845,8.246203
24,"2019-01-14 07:00:00",432,1.976244,5.3273935556,7.299452
24,"2019-01-14 08:00:00",352,3.262284,8.0457134602,11.250705
1,"2019-01-14 08:00:00",110,4.568634,5.4503636636,7.487435
24,"2019-01-14 09:00:00",713,1.666864,6.5180246718,11.399512
1,"2019-01-14 09:00:00",401,4.209813,6.3770041796,8.555153
24,"2019-01-14 10:00:00",472,2.811152,6.8754696886,14.292086
1,"2019-01-14 10:00:00",466,1.624618,5.6766734678,16.251315
1,"2019-01-14 11:00:00",221,2.413959,7.614990724,15.316243
24,"2019-01-14 11:00:00",703,1.792659,7.636287394,13.501183
